Unnamed: 0,BLEU,ROUGE-1,ROUGE-2,ROUGE-L
microsoft/DialoGPT-medium,0.0,0.2152950558213716,0.0993406593406593,0.2152950558213716
Pi3141/DialoGPT-medium-elon-2,0.0,0.2014599779305662,0.0916666666666666,0.2014599779305662
0xDEADBEA7/DialoGPT-small-rick,0.0,0.2074003189792663,0.0942986425339366,0.2074003189792663
satvikag/chatbot,0.0,0.2034365634365634,0.0832748538011695,0.2034365634365634
microsoft/DialoGPT-large,0.0,0.1861143454246902,0.0855840455840455,0.1861143454246902
